title,point,hit,review,star,address,telephone
루베크,0,"13,673",10,169,"서울특별시 서초구 서초대로73길 50 대원빌딩 4F
지번 서울시 서초구 서초동 1309-5 대원빌딩 4F",02-594-1016
압구정의 하루일과,0,"3,545",5,55,"서울특별시 강남구 압구정로29길 71 현대상가 2동 1F
지번 서울시 강남구 압구정동 369-1 현대상가 2동 1F",02-547-6611
더미트,0,"9,367",16,74,"서울특별시 강남구 봉은사로2길 19
지번 서울시 강남구 역삼동 810-4",02-557-1122
헬로우,0,"47,499",22,"1,516","서울특별시 강남구 논현로151길 55 호경빌딩 B1
지번 서울시 강남구 신사동 541-2 호경빌딩 B1",02-541-4427
콜마인,0,645,0,12,"서울특별시 강남구 압구정로50길 5-12 B1
지번 서울시 강남구 신사동 661-10 B1",070-8623-9779
멜랑즈,0,"7,021",5,268,"서울특별시 강남구 도산대로50길 16 2F
지번 서울시 강남구 논현동 96-11 2F",02-512-5980
게스후,0,"7,112",4,92,"서울특별시 강남구 논현로 819 MK빌딩 B1
지번 서울시 강남구 신사동 586 MK빌딩 B1",02-547-9063
판치야,0,"2,738",1,19,"서울특별시 강남구 학동로53길 29 대림빌딩
지번 서울시 강남구 논현동 109-26 대림빌딩",010-4349-3323
영화와인셀러,0,"2,825",2,12,"서울특별시 강남구 언주로93길 32-6
지번 서울시 강남구 역삼동 672-33",02-553-7233
제이앤제이슨,0,"22,784",9,221,"서울특별시 강남구 도산대로49길 31 B1
지번 서울시 강남구 신사동 647-14 B1",010-7430-7053
펄쉘프리미에,0,"5,048",4,169,"서울특별시 강남구 압구정로42길 49 B1
지번 서울시 강남구 신사동 645-28 B1",02-3446-0916
크레이지와인바,0,"5,146",2,41,"서울특별시 강남구 도산대로51길 41 2F
지번 서울시 강남구 신사동 657-21 2F",02-516-9994
믹솔로지,0,"5,430",10,145,"서울특별시 강남구 도산대로58길 18 B1
지번 서울시 강남구 청담동 22-14 B1",02-511-8214
누앙스미묘한차이,0,"4,532",9,103,"서울특별시 강남구 압구정로72길 7
지번 서울시 강남구 청담동 99-1",02-514-8077
피플더테라스,0,"7,776",8,92,"서울특별시 강남구 도산대로81길 13
지번 서울시 강남구 청담동 118-19",02-511-8113
디태치먼트,0,"5,719",4,119,"서울특별시 강남구 논현로151길 18
지번 서울시 강남구 신사동 562-13",02-511-8782
데일리 청담,0,"2,553",4,34,"서울특별시 강남구 선릉로152길 21 영인빌딩
지번 서울시 강남구 청담동 89-6 영인빌딩",0507-1331-8648
엠바고,0,752,2,19,"서울특별시 강남구 선릉로146길 27-3 1F
지번 서울시 강남구 청담동 21-14 1F",0507-1486-8026
비랩,0,"9,403",8,37,"서울특별시 강남구 강남대로98길 10 2F
지번 서울시 강남구 역삼동 817-1 2F",010-2780-1245
일곱잔,0,"1,938",5,33,"서울특별시 강남구 도산대로11길 5 2F 202호
지번 서울시 강남구 신사동 514-9 2F 202호",0507-1326-8158
